2025-10-28 18:17:19 | REQUEST ke api.php | URI: /ASIMA/config/api.php?action=load_conversations | POST: 
2025-10-28 18:17:23 | REQUEST ke api.php | URI: /ASIMA/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1761675439398","title":"Percakapan Baru","messages":[{"text":"Halo Mahasiswa! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"hai asima","sender":"user"}]}}
2025-10-28 18:17:23 | REQUEST ke api.php | URI: /ASIMA/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1761675439398","title":"hai asima","messages":[{"text":"Halo Mahasiswa! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"hai asima","sender":"user"}]}}
2025-10-28 18:17:23 | REQUEST ke api.php | URI: /ASIMA/config/api.php | POST: {"action":"ask_general","question":"hai asima","history":[{"text":"Halo Mahasiswa! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"hai asima","sender":"user"}]}
2025-10-28 18:17:24 | REQUEST ke api.php | URI: /ASIMA/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1761675439398","title":"hai asima","messages":[{"text":"Halo Mahasiswa! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"hai asima","sender":"user"},{"text":"Hai Mahasiswa! Senang bisa bicara denganmu. Bagaimana kabarmu hari ini? Ada apa yang ingin kamu ceritakan? Aku siap mendengarkan, tanpa menghakimi. 😊\n","sender":"bot"}]}}
2025-10-28 18:25:58 | REQUEST ke api.php | URI: /ASIMA/config/api.php?action=load_conversations | POST: 
2025-10-28 18:29:44 | REQUEST ke api.php | URI: /ASIMA/config/api.php?action=load_conversations | POST: 
2025-10-28 18:30:03 | REQUEST ke api.php | URI: /ASIMA/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1761676184222","title":"Percakapan Baru","messages":[{"text":"Halo Mahasiswa! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"hai","sender":"user"}]}}
2025-10-28 18:30:03 | REQUEST ke api.php | URI: /ASIMA/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1761676184222","title":"hai","messages":[{"text":"Halo Mahasiswa! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"hai","sender":"user"}]}}
2025-10-28 18:30:03 | REQUEST ke api.php | URI: /ASIMA/config/api.php | POST: {"action":"ask_general","question":"hai","history":[{"text":"Halo Mahasiswa! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"hai","sender":"user"}]}
2025-10-28 18:30:06 | REQUEST ke api.php | URI: /ASIMA/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1761676184222","title":"hai","messages":[{"text":"Halo Mahasiswa! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"hai","sender":"user"},{"text":"Hai Mahasiswa! Senang bertemu denganmu. Ada apa hari ini?","sender":"bot"}]}}
