2025-09-10 14:33:21 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:33:21 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:33:32 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:33:32 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:33:51 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:33:51 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:34:06 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:34:06 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:34:06 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"conv_1757514846148","title":"Percakapan Baru","messages":[]}}
2025-09-10 14:35:02 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:35:02 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:39:15 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:39:15 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:39:21 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:39:21 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:39:46 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:39:46 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:44:38 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:44:38 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:44:46 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:44:46 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:45:04 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1757515504944","title":"Percakapan Baru","messages":[{"text":"Halo Nindya Ayu Fadilah! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"}]}}
2025-09-10 14:45:15 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1757515504944","title":"Percakapan Baru","messages":[{"text":"Halo Nindya Ayu Fadilah! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"siapa saya?","sender":"user"}]}}
2025-09-10 14:45:15 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"ask_general","question":"siapa saya?"}
2025-09-10 14:45:15 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1757515504944","title":"Percakapan Baru","messages":[{"text":"Halo Nindya Ayu Fadilah! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"siapa saya?","sender":"user"},{"text":"Hai Nindya Ayu Fadilah!  Anda adalah mahasiswa di Universitas Mandiri.\n","sender":"bot"}]}}
2025-09-10 14:51:30 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:51:30 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:51:35 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"delete_conversation","conversationId":"chat_1757515504944"}
2025-09-10 14:51:37 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1757515897204","title":"Percakapan Baru","messages":[{"text":"Halo Nindya Ayu Fadilah! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"}]}}
2025-09-10 14:51:45 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1757515897204","title":"Percakapan Baru","messages":[{"text":"Halo Nindya Ayu Fadilah! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"tolong bantu saya","sender":"user"}]}}
2025-09-10 14:51:45 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"ask_and_generate_title","question":"tolong bantu saya","conversation_id":"chat_1757515897204"}
2025-09-10 14:51:47 | REQUEST ke api.php | URI: /TA_CB/config/api.php | POST: {"action":"save_conversation","conversation":{"id":"chat_1757515897204","title":"Percakapan Baru","messages":[{"text":"Halo Nindya Ayu Fadilah! Saya Asisten Mahasiswa virtual. Apa yang bisa saya bantu hari ini?","sender":"bot"},{"text":"tolong bantu saya","sender":"user"},{"text":"Hai Nindya Ayu Fadilah!  Ada apa? Kamu terlihat sedikit lesu.  Ada sesuatu yang ingin kamu ceritakan? Aku ada kok, dan aku mau mendengarkan.  Jangan sungkan ya. 😊\n","sender":"bot"}]}}
2025-09-10 14:51:52 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 14:51:52 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 15:00:19 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
2025-09-10 15:00:19 | REQUEST ke api.php | URI: /TA_CB/config/api.php?action=load_conversations | POST: 
